Distancias	luz	hojas	peso
5.5	100	20	17.4
5.5	100	16	15.3
5.5	100	18	15.2
5.5	100	14	14.2
5.5	100	16	14.2
5.5	100	17	13.5
5.5	100	9	12.9
5.5	100	12	12.5
5.5	100	12	12.2
5.5	100	14	11.8
5.5	100	20	11.7
5.5	100	13	10.9
5.5	100	13	10.6
5.5	100	13	10.5
5.5	100	14	10.4
5.5	100	18	9.9
5.5	100	12	9.8
5.5	100	14	9.2
5.5	100	11	8.9
5.5	100	18	8.8
5.5	100	12	8.6
5.5	100	9	8.3
5.5	100	11	8.2
5.5	100	12	7.9
5.5	70	20	13.1
5.5	70	12	12.6
5.5	70	22	12.5
5.5	70	21	12.5
5.5	70	20	12.3
5.5	70	20	11.9
5.5	70	19	11.7
5.5	70	22	11.5
5.5	70	17	11.2
5.5	70	13	11.2
5.5	70	11	11.2
5.5	70	17	10.8
5.5	70	23	10.7
5.5	70	21	10.6
5.5	70	15	10.6
5.5	70	17	10.5
5.5	70	13	10.3
5.5	70	22	9.8
5.5	70	18	9.8
5.5	70	14	9.6
5.5	70	26	9.5
5.5	70	25	9.1
5.5	70	17	8.9
5.5	70	12	8.7
5.5	30	14	12.3
5.5	30	12	11.1
5.5	30	13	10.8
5.5	30	17	10.3
5.5	30	10	10.3
5.5	30	6	10.2
5.5	30	11	10.2
5.5	30	11	10.2
5.5	30	12	9.8
5.5	30	8	9.8
5.5	30	15	9.6
5.5	30	12	9.6
5.5	30	19	9.4
5.5	30	18	8.9
5.5	30	14	8.9
5.5	30	18	8.6
5.5	30	19	8.6
5.5	30	12	8.3
5.5	30	11	8.2
5.5	30	17	7.9
5.5	30	15	7.8
5.5	30	11	7.7
5.5	30	18	7.4
5.5	30	15	7.2
4	100	6	6
4	100	5	5.3
4	100	4	5
4	100	4	4.6
4	100	5	4.3
4	100	6	4.2
4	100	5	4.1
4	100	4	4.1
4	100	4	3.9
4	100	4	3.8
4	100	4	3.6
4	100	5	3.5
4	100	4	3.4
4	100	4	3.4
4	100	4	3.3
4	100	4	3.2
4	100	4	3.2
4	100	5	3.1
4	100	4	2.9
4	100	4	2.7
4	100	4	2.6
4	100	4	2.5
4	100	4	2.4
4	100	4	1
4	70	4	2.5
4	70	6	2.3
4	70	4	2.2
4	70	4	2.2
4	70	4	2.1
4	70	6	2.1
4	70	5	2.1
4	70	5	2.1
4	70	4	1.9
4	70	6	1.9
4	70	4	1.8
4	70	4	1.8
4	70	4	1.7
4	70	5	1.7
4	70	4	1.6
4	70	5	1.6
4	70	6	1.6
4	70	4	1.6
4	70	4	1.6
4	70	7	1.5
4	70	4	1.4
4	70	4	1.3
4	70	4	1.2
4	70	4	1.1
4	30	5	3.6
4	30	4	3.4
4	30	6	3.3
4	30	6	3.1
4	30	4	2.9
4	30	5	2.9
4	30	5	2.9
4	30	4	2.8
4	30	5	2.8
4	30	5	2.7
4	30	4	2.6
4	30	4	2.6
4	30	4	2.5
4	30	5	2.5
4	30	6	2.4
4	30	4	2.3
4	30	4	2.2
4	30	5	2.2
4	30	4	1.9
4	30	4	1.8
4	30	4	1.6
4	30	4	1.6
4	30	4	1.1
4	30	5	0.9
2.5	100	4	7
2.5	100	4	2.1
2.5	100	4	2.1
2.5	100	4	2
2.5	100	4	1.8
2.5	100	4	1.6
2.5	100	4	1.5
2.5	100	4	1.5
2.5	100	4	1.3
2.5	100	4	1.3
2.5	100	4	1.2
2.5	100	4	1.1
2.5	100	4	1.1
2.5	100	4	1.1
2.5	100	4	1
2.5	100	4	0.9
2.5	100	4	0.9
2.5	100	4	0.9
2.5	100	4	0.9
2.5	100	4	0.9
2.5	100	4	0.9
2.5	100	4	0.9
2.5	100	4	0.8
2.5	100	4	0.8
2.5	70	5	1.4
2.5	70	7	1.4
2.5	70	6	1.3
2.5	70	8	1.3
2.5	70	6	1.2
2.5	70	8	1.2
2.5	70	7	1.2
2.5	70	5	1.1
2.5	70	6	1
2.5	70	6	1
2.5	70	6	0.9
2.5	70	8	0.9
2.5	70	4	0.9
2.5	70	8	0.9
2.5	70	7	0.9
2.5	70	5	0.9
2.5	70	5	0.8
2.5	70	4	0.8
2.5	70	6	0.8
2.5	70	6	0.8
2.5	70	5	0.7
2.5	70	5	0.7
2.5	70	6	0.7
2.5	70	5	0.6
2.5	30	4	0.8
2.5	30	5	0.8
2.5	30	4	0.8
2.5	30	5	0.8
2.5	30	4	0.7
2.5	30	4	0.7
2.5	30	4	0.6
2.5	30	6	0.6
2.5	30	5	0.6
2.5	30	5	0.6
2.5	30	4	0.6
2.5	30	5	0.5
2.5	30	6	0.5
2.5	30	5	0.5
2.5	30	4	0.5
2.5	30	5	0.5
2.5	30	6	0.5
2.5	30	6	0.5
2.5	30	4	0.4
2.5	30	6	0.4
2.5	30	5	0.4
2.5	30	5	0.4
2.5	30	4	0.4
2.5	30	4	0.3
